npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:254:85: Strings not allowed in JSX files: "Go Back" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:271:67: Strings not allowed in JSX files: "Review Details" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:272:76: Strings not allowed in JSX files: "View and manage customer feedback" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:283:22: Strings not allowed in JSX files: "Analyze Sentiment" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:319:55: Strings not allowed in JSX files: ".0" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:332:155: Strings not allowed in JSX files: "Published Date" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:346:155: Strings not allowed in JSX files: "Source" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:361:161: Strings not allowed in JSX files: "Review Content" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:380:167: Strings not allowed in JSX files: "Extracted Emotions" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:389:169: Strings not allowed in JSX files: "Key Topics" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:406:165: Strings not allowed in JSX files: "Your Reply" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:433:30: Strings not allowed in JSX files: "Reject / Skip" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:457:165: Strings not allowed in JSX files: "Reply History" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:567:116: Strings not allowed in JSX files: "AI Smart Suggestions" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:573:155: Strings not allowed in JSX files: "AI Analysis" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:584:74: Strings not allowed in JSX files: "Suggested Replies" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:641:146: Strings not allowed in JSX files: "&quot;" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:642:50: Strings not allowed in JSX files: "&quot;" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:658:30: Strings not allowed in JSX files: "'Dear '" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:658:63: Strings not allowed in JSX files: "', thank you so much for your '" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:658:120: Strings not allowed in JSX files: "'-star review! We appreciate your feedback and hope to see you again soon.'" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/[id]/page.tsx:688:26: Strings not allowed in JSX files: "Use This" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/auto-reply/page.tsx:151:64: Strings not allowed in JSX files: "Configure AI-powered automated responses for your business reviews." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/auto-reply/page.tsx:187:64: Strings not allowed in JSX files: "Active Business Context" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/auto-reply/page.tsx:188:66: Strings not allowed in JSX files: "Select the business you want to configure" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/auto-reply/page.tsx:240:61: Strings not allowed in JSX files: "No Brand Profile Found" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/auto-reply/page.tsx:241:93: Strings not allowed in JSX files: "The selected business does not have an active brand profile. Please set up a brand profile first to enable auto-reply features." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:136:66: Strings not allowed in JSX files: "Review Analytics Dashboard" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:139:62: Strings not allowed in JSX files: "AI-powered insights from customer reviews across all platforms" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:157:60: Strings not allowed in JSX files: "📅 Last" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:158:31: Strings not allowed in JSX files: "Days" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:163:25: Strings not allowed in JSX files: "Period" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:165:36: Strings not allowed in JSX files: "Last 30 Days" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:166:36: Strings not allowed in JSX files: "Last 90 Days" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:189:58: Strings not allowed in JSX files: "⬇️ Export" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:288:76: Strings not allowed in JSX files: "UNREPLIED" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/reviews/dashboard/page.tsx:296:76: Strings not allowed in JSX files: "LAST 7 DAYS" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/seo-intelligence/page.tsx:8:52: Strings not allowed in JSX files: "SEO Intelligence" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/seo-intelligence/page.tsx:11:37: Strings not allowed in JSX files: "Admin SEO analytics and tools for local performance." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/settings/feature-flags/CreateFeatureFlagDrawer.tsx:3:1: There should be at least one empty line between import groups [Error/import/order]
/app/apps/next-web/src/app/[locale]/(admin)/admin/settings/feature-flags/CreateFeatureFlagDrawer.tsx:59:5: Expected blank line before this statement. [Error/padding-line-between-statements]
/app/apps/next-web/src/app/[locale]/(admin)/admin/settings/feature-flags/FeatureFlagsClient.tsx:122:12: Strings not allowed in JSX files: "Edit" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/settings/feature-flags/FeatureFlagsClient.tsx:138:12: Strings not allowed in JSX files: "Delete" [Error/react/jsx-no-literals]
